Region,Suburb,Year,Total Description,Value
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Tuggeranong,Banks,2011,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),111.0
Inner South,Barton,2011,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),0.0
Inner South,Barton,2011,Language - Census : Speaks English at home (%),100.0
Inner South,Barton,2011,"Engagement in employment, education or training - Census : Fully engaged (%)",42.9
Inner South,Barton,2011,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",0.0
Inner South,Barton,2011,"Engagement in employment, education or training - Census : Not engaged (%)",0.0
Inner South,Barton,2011,Labour force status - Census : Employed (no.),3.0
Inner South,Barton,2011,Labour force status - Census : % of total labour force employed,100.0
Inner South,Barton,2011,Labour force status - Census : Unemployed (no.),0.0
Inner South,Barton,2011,Labour force status - Census : % of total labour force unemployed,0.0
Inner South,Barton,2011,Labour force status - Census : In the labour force (no.),3.0
Inner South,Barton,2011,Labour force status - Census : Labour force participation rate (%),42.9
Inner South,Barton,2011,Labour force status - Census : Not in the labour force (%),0.0
