Region,Year,Total Description,Value
Gungahlin,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),51.0
Gungahlin,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),13.4
Gungahlin,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),12.0
Gungahlin,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),12.1
Gungahlin,2016,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),11.0
Gungahlin,2016,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),1097.8
Gungahlin,2016,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),785.0
Gungahlin,2016,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),866.0
Gungahlin,2016,"Engagement in employment, education or training - Census : Fully engaged (%)",775.1
Gungahlin,2016,"Engagement in employment, education or training - Census : Not engaged (%)",150.8
Gungahlin,2016,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",240.8
Gungahlin,2016,Labour force status - Census : % of total Census responding population employed,911.8
Gungahlin,2016,Labour force status - Census : % of total labour force employed,1124.7
Gungahlin,2016,Labour force status - Census : % of total labour force unemployed,55.199999999999996
Gungahlin,2016,Labour force status - Census : Employed (no.),442.0
Gungahlin,2016,Labour force status - Census : In the labour force (no.),472.0
Gungahlin,2016,Labour force status - Census : Labour force participation rate (%),981.7
Gungahlin,2016,Labour force status - Census : Not in the labour force (%),188.2
Gungahlin,2016,Labour force status - Census : Total responding population aged 15-64 years (no.),575.0
Gungahlin,2016,Labour force status - Census : Unemployed (no.),27.0
Gungahlin,2016,Language - Census : Aboriginal and Torres Strait Islander people who reported speaking an Aboriginal or Torres Strait Islander language (%),18.6
Gungahlin,2016,Language - Census : Speaks English at home (%),1118.7
Gungahlin,2016,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (%),581.2
Gungahlin,2016,Tenure type - Census : Owner with or without a mortgage (or being purchased under a shared equity scheme) (no.),395.0
Gungahlin,2016,Tenure type - Census : Renter (%),598.9
Gungahlin,2016,Tenure type - Census : Renter (no.),496.0
Gungahlin,2016,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (%),142.6
Gungahlin,2016,Unpaid assistance to a person with a disability - Census : Provided unpaid assistance (no.),75.0
Gungahlin,2016,Unpaid child care - Census : Cared for other child/children (%),102.0
Gungahlin,2016,Unpaid child care - Census : Cared for other child/children (no.),50.0
Gungahlin,2016,Unpaid child care - Census : Cared for own child/children (%),298.6
Gungahlin,2016,Unpaid child care - Census : Cared for own child/children (no.),155.0
Gungahlin,2016,Unpaid child care - Census : Did not provide unpaid child care (%),678.1
Gungahlin,2016,Unpaid child care - Census : Did not provide unpaid child care (no.),353.0
Gungahlin,2016,Unpaid child care - Census : Total provided unpaid child care (%),448.1
Gungahlin,2016,Unpaid child care - Census : Total provided unpaid child care (no.),228.0
Gungahlin,2016,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (%),276.5
Gungahlin,2016,Voluntary work for an organisation or group - Census : Volunteered for an organisation or group (no.),138.0
Gungahlin,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (%),1236.3
Gungahlin,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Attained Year 12 or equivalent or Certificate III or above (no.),122.0
Gungahlin,2021,Closing the Gap Target 5 - People aged 20-24 years - Census : Total applicable population aged 20-24 years (no.),140.0
Gungahlin,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (%),843.6
Gungahlin,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Completed tertiary qualification of Certificate III or above (no.),161.0
Gungahlin,2021,Closing the Gap Target 6 - People aged 25-34 years - Census : Total applicable population aged 25-34 years (no.),209.0
Gungahlin,2021,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (%)",715.8
Gungahlin,2021,"Closing the Gap Target 7 - People aged 15-24 years - Census : Fully engaged in employment, education or training (no.)",182.0
Gungahlin,2021,Closing the Gap Target 7 - People aged 15-24 years - Census : Total applicable population aged 15-24 years (no.),281.0
Gungahlin,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (%),976.0
Gungahlin,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Employed (no.),453.0
Gungahlin,2021,Closing the Gap Target 8 - People aged 25-64 years - Census : Total applicable population aged 25-64 years (no.),566.0
Gungahlin,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (%),0.0
Gungahlin,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring four or more additional bedrooms (no.),0.0
Gungahlin,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (%),27.6
Gungahlin,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring one additional bedroom (no.),33.0
Gungahlin,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (%),3.2
Gungahlin,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),3.0
Gungahlin,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (%),14.100000000000001
Gungahlin,2021,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),20.0
Gungahlin,2021,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (%),1140.4
Gungahlin,2021,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),1104.0
Gungahlin,2021,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),1165.0
Gungahlin,2021,"Engagement in employment, education or training - Census : Fully engaged (%)",787.5
Gungahlin,2021,"Engagement in employment, education or training - Census : Not engaged (%)",281.4
Gungahlin,2021,"Engagement in employment, education or training - Census : Partially or at least partially engaged (%)",193.0
Gungahlin,2021,Labour force status - Census : % of total Census responding population employed,1043.4
Gungahlin,2021,Labour force status - Census : % of total labour force employed,1105.1
Gungahlin,2021,Labour force status - Census : % of total labour force unemployed,69.8
Gungahlin,2021,Labour force status - Census : Employed (no.),609.0
Gungahlin,2021,Labour force status - Census : In the labour force (no.),664.0
Gungahlin,2021,Labour force status - Census : Labour force participation rate (%),1121.2
Gungahlin,2021,Labour force status - Census : Not in the labour force (%),246.0
Gungahlin,2021,Labour force status - Census : Total responding population aged 15-64 years (no.),835.0
Gungahlin,2021,Labour force status - Census : Unemployed (no.),42.0
