Suburb,Total Description,Year,Number,Region,Population,Rate,COVID
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2016,0.0,Belconnen,7147,0.0,Pre
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring three additional bedrooms (no.),2021,0.0,Belconnen,7543,0.0,During
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2011,0.0,Belconnen,6751,0.0,Pre
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2016,0.0,Belconnen,7147,0.0,Pre
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling requiring two additional bedrooms (no.),2021,0.0,Belconnen,7543,0.0,During
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2011,30.0,Belconnen,6751,4.4437861057621095,Pre
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2016,37.0,Belconnen,7147,5.176997341541906,Pre
Bruce,Closing the Gap Target 9A - Census : Living in a dwelling with no additional bedrooms required (appropriately sized) (no.),2021,69.0,Belconnen,7543,9.147554023598039,During
Bruce,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2011,27.0,Belconnen,6751,3.999407495185898,Pre
Bruce,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2016,37.0,Belconnen,7147,5.176997341541906,Pre
Bruce,Closing the Gap Target 9A - Census : Total people living in applicable dwellings (no.),2021,68.0,Belconnen,7543,9.014980776879225,During
Bruce,Labour force status - Census : Employed (no.),2011,30.0,Belconnen,6751,4.4437861057621095,Pre
Bruce,Labour force status - Census : Employed (no.),2016,32.0,Belconnen,7147,4.4774031061984045,Pre
Bruce,Labour force status - Census : Employed (no.),2021,65.0,Belconnen,7543,8.61726103672279,During
Bruce,Labour force status - Census : In the labour force (no.),2011,35.0,Belconnen,6751,5.184417123389127,Pre
Bruce,Labour force status - Census : In the labour force (no.),2016,35.0,Belconnen,7147,4.897159647404505,Pre
Bruce,Labour force status - Census : In the labour force (no.),2021,68.0,Belconnen,7543,9.014980776879225,During
Bruce,Labour force status - Census : Total responding population aged 15-64 years (no.),2011,41.0,Belconnen,6751,6.073174344541549,Pre
Bruce,Labour force status - Census : Total responding population aged 15-64 years (no.),2016,51.0,Belconnen,7147,7.135861200503707,Pre
